Username,Comment
விதைப்போம் வளர்ப்போம்,"                   .. 

   --Share subscribe watch."
Yashika,"These are the farmers of our country whose demands the government was unable to fulfill and they decided to carry out peaceful protests from the very start, the group who hoisted that flag separated itself from the peaceful tractor rally, moving towards the red fort was led by deep siddhu, farmers claim that going to the red fort was not even in their plan

these comments make me think if people even use their brains or just go with the flow of what they see in the media or read elsewhere"
Ash Strom,Well I support for farmers but a flag agnist indian flag is completely different thing
Swati Haria,In HIJADO PE THU THU THU THUUUUUUU
Ashu Bansal,"No jobs, no equality, no strict laws against rape in India. There will be soon no food for poor people in India if we dont support kisan today."
"Youtube Scop2,0","     victin                                                                                                                                                                          global hunger index (94/107)                                                                                                                          ???? As a such that I am work job income Tax Chanel subscribe kro
Guys barojgaro ki problem solution say related vedios apload krnay wala hu plzz gauys support       "
atyuin negi,"At least condemn to Kar lo.... Yaar...abhi BHI kitni slow bol Rahe hai it's a religious flag.....jab CAA ke time hua to desh fascist ho Gaya tha,,,, lekin aaj secualr ho Gaya...."
Chennakeshavulu T,That is power of formers
Sam David,"Tamils and Sikhs!! Brave Nations with some self esteem,."
nishant verma,Violence is condemnable... The movement has lost it's sanctity and purpose because of Violence and Anarchy... This was not expected from 'annadatas'(Farmers)... Thev have broken their promise of peaceful protest..The rioters should be dealt with strictly according to Law and charged with relevant sections of Indian Penal Code...
PRABODHA BEBARTA,They hurt my heart. Govt didn't fire them due to vote bank policy.
Kiran Nation,Best video of all time
Paras Dobariya,   ...... Great
G S,Great work
Sanju Gaidu,"Beautiful !!
So vibrant and vast"
Ankit Kumar,"Got emotional after watching this. 
How they are disciplined even after massive crowd.
You won billions of hearts Love You Farmers .
How government working to scandalized farmer's image by a propaganda.
Can't imagine this kind of ruthless Government "
Somi bin Abba,Love and Support fromKerala
Meet Singh,"Wow beautiful view's,good job,can't stop watching "
Wolf Wolf,Too bad some bad ass took the farmers for a ride..
bos space,Please call it the Broker's and Congress protest. We love our farmers and the new laws will help them become richer.
Suvansh Seth,Can't believe how our government  is ignoring it .. we have elected bunch of fools
INDIAN MALLU,"JAI KISSAN  JAI HINDH ..
I support farmers...
Farmers not from Pakistan &China
KISSAN our HEART off the nation....."
Amit Bhar,Thanks for making this video by Drone 
Harkanwal Singh,Shame on (Anti ) National media for not showing the beauty of the parade.
Harry UK,Simply excellent..
Good Vibes,Music gives sooo much positive energy 
Mandeep singh,We fight for the oppressed today the farmer  why not make msp law modi that will make farmers income increase 
Ranjeet Singh,"Please post new pictures everyday ..talk to #sanjuaktkisanmorcha to post those pictures on their platform..
We wil spread those pictures in worlds on our social accounts.."
Rohit Singh Rajpoot,Thanks 
Test One,I like the music...
Harpreet Kaur,7:10 the scene is incredible
V Singh,This is incredible #farmersprotest Chardi Kala. Kisan Ekta!
nk 008,Excellent coverage...thanks for showing the true side of ptotest
krishnakumar pd,Shah should go back to Iran.Modi should join a college and persue his graduation.lets educated farmers rule India.
krishnakumar pd,Shah should go back to Iran.Modi should join a college and persue his graduation.lets educated farmers rule India.
Palwinder Singh,"     
#standwithfarmers #farmersprotest"
indian,very beautifull . proud to be an indian . bhaichara bana ke rakho desh mein bus itni si gujarish hai
Prasad R,Thankyou paaji for showing this. God bless you
Beeju Marwah,They should have big hot air balloon hovering all over Delhi with all the writing on it.
Ajay chouhan,bjp is corrupt criminal party
Gurdev Uppal,"Thank you  so much. 
Beautiful parade."
white dress,Acce Din is here....corona died. Mudi is meditating.
SMADH Portgas,Incredible these farmers 
Angela Paul,Farmers you deserve a big salute ! And my sincere support for your focused efforts and protest. The FAKE BJP govt is evil and they will continue with their diversions. Stay focused and your efforts will not go in vain.. Full support to farmers who are leading this protest for all of us patriotic Indians 
Alaya Doll and maida,Why is the central government not repealing three farms laws as is being demanded by the farmer's unions?????
Ravi Enterprises,Why do governments don't listen to farmers? The central government should not be adamant. The  government failed to bring farmers on table properly.
Harpreet narang,I wanted to tell media should have to Google the protest of 114 days of bhagat singh
sanjay ram,"this machine is well suited to mount a gun , best for border security."
Shanmugam P N,Where there' is  will there is way. Victory march to Delhi.
Jo Black,They are all sponsored farmers. My father has even not a bicycle to ride. They are wasting 100s of litters diesel on the show. Where do they get this money to spend. Why they do not think about other small farmers?
MANICKAVASAGAM PERIASAMY,Good approach
Pascoal Martin Fernandes,May God guide and protect you all
Human First,"Waste PM Modi Petrol rates are all time high, highest inflation ever in indian history, highest unemployment ever in indian history. PM modi first solve our problems & answer to our questions.."
Wayne Ryder,Very happy  
Dhruv Rathee,"00:36 Tractor Parade Plan
02:05 What happened at Red Fort?
03:37 Who is responsible?
09:26 What was Police doing?
11:04 Why it happened?"
Ashok Gaddam,If the protest becomes voilent Govt will gain support form normal people.
Ashok Gaddam,SKM is right
Somnath Biswas,Bahut complicated case hai bhai
Sonali Kumari,Whenever Dhruv bhaiya send godi media i literally laugh a lot 
K Pannu,"Deep Sidhu and lakaha sidhana was right becoz when protest was started they both were with farmer no committee was with them . But now defamed  all are them on one basis . I am from Punjab so i know well becoz i see directly . when farmer was on Haryana border no committee was their they and their fews friends help to cross haranya border so i don't think was wrong plz see pervious  news carefully 
And i want say within few weeks it will 1year complete farmer protest so we will support them becoz godi media will not support  they will defamed them 
So plz believe on true news"
Saurabh Shinde,Fake Government who's making monopoly on country
Bhumika Agarwal,The way you manipulate your viewers is amazing....firstly I believed u but when I went on other u tube channels like abhi and niyu I came to know about the reality.
Diljot Singh Sodhi,Must needed video!  Support farmers.
Prince Vashishth,Thanks!
Bappaditya Ghosh,People like u r a shake to this country...
Pawan Gill,"Haha those who spoke this video is not accurate Im sure they hate sikhs or might be typical hindus or something they should understand the concept rather than thinking they are only sikhs no they are not only sikhs they are farmers all over india  up,mp,Rajasthan,punjab,haryana, Karnataka"
no way,"Well you just proved my point . The flag hoisted on the day was not a Khalisthani flag whatsoever . It was Nishaan Saheb flag . You can clearly differentiate between the logos on both of them . Nishaan Saheb flag can be seen atop Gurudwars . Our pm has himself worn the symbol as a head scarf . Indian army has hoisted the flags several times . 
But regardless of what flag it was , I do believe that no religious flags shoulf be hoisted on top of red fort and other buildings are totally wrong . 
Second point , the Nishaan Saheb flag was hoisted by Deep Sidhu . He had no relation with the protests until this incident . You must have heard his name .  He himself admitted"
Arun Narayanan,Rand liberals..... Terrorist choothiya
Arjinder Singh,Police shot one of the farmer on his head 
Royal Jaat,Why only punjab farmers are unsatisfied with the farm laws. I am from Uttar Pradesh and here I can see no farmer support this protest.
Ramandeep Singh,Bro u said that it is bad to put religious flag in government buildings....plz tell me in 1984 the Indian army put the Indian flag in our golden temple....kya voh Shi ha ...or jab babri masquid pr kuj Hindu logo nay apna religious flag lgaya tha .....uskay bareh may b bolo kuj....
Sangeeta Sharma,2:09 you can easily see the damn khalistani flag
Munaf Sayyed,Bjp did that
Munaf Sayyed,Well explained 
Manish Kulkarni,This video is justifing the violence we have certain proofs that all the unions want the violence and he is saying that the violant people are pro govt matlab haadh hai bhai itne din toh ek saath kha rahe hai sab kar rahe hai aur Khalistan ka flag ko nishan sahib ka bol raha hai wah bhai itne kaise gir sakte hai bhai justify karne keliye apko govt pasand nahi toh teke lekin itna clear indian sovereignty ko challenge karne wale activities kaise justify kar lete hai ye :(
abdullah zahid,He said in my opinion a religious symbol should not be hosited on a governement building so these peope should be arrested. Why will the police accept your decision?
ravi teja,"This hypocritical a**hole will never discuss: 
1. How many times Govt held discussions with farmers, and how at every meeting the so called farmers changed their demands
2. How Khalistani supporters entered the rally
3. If the farmers were really against the bill, why dont they go for 'crop-hold'
4. The so called farmers demanded release of vara vara rao (maoist leader) , how come that is related to the farmers??
5. Why only farmers of a particular region have protested, there was negligible protests in other parts of the country"
ravi teja,"bhai thoda toh sharm kar ley...koi itna jhoot kaise bol sakta hai...Indian flag was thrown away and khalistani flag was put, there is a clear cut video evidence of the same...u liar!!!"
daredevil,"This guy explained very well and truly 
Farmers jindabad 
Modi murdabad 
Godi media murdabad"
Parvinder Singh,Brother police wale vi insaan hai uss time situation ke hisab se apni jaan bi bachani zroori thhi...agar police wale marr jate to nuksaan kiska hota...??? Humne vi videos dekhi jisme police walo per hmla hua or wo uper se he jump kr gye...
Ritik kapoor,Tell me one thing how you get persentage 
Ritik kapoor,In every video you target modi administration
PRAJJWAL DWIVEDI,Fake news spreader.
Dhermendra Kumar,"Sir mere pass video h usme dikhrha h ki ye log red fort pr khade police officer,s pr attack kr rhe the or police ko bhaga rhe the"
Gaming Square Studios,"Dhruv rathee bro this is not a real nishan sahib. This was originated in early-20th century before that sikhs used puratan nishan sahib which was blue in colour and this nishan sahib was used by the time of guru gobind singh ji it has spearhead ( arrow ) on the top of the pole and also it has a farla (  , a strip of cloth ) and also it has sword , shield and triangular dagger as a symbol and it was triangular in shape. It's base ( bottom line of triangle ) starts from downwards and goes to upwards."
HOUSE OF MOVIES,Dhruv rathee.....
Madhu A,Fake news spreader
simar thind,Red fort govt building nahi h ... Vo lease prr diya ja chuka h ....
Ritik,National media works under BJP
Aryan Bhat,Bro do u have got threat calls bcoz u speak very bold Nd true
Deepika Walia,In 1984 when the bloody Indian government put their three colour on the dwara that's the little Revenge of that but the revenge is not completed till it
Udeyveer,"We don't demand Khalistan,
All we demand is withdrawal of the bills."
XA 19 Aniruddha Dhokne,"Hello Dhruv Rathee ji I am a subscriber of your channel and I want tha you should take reports from other channel too... Which are neutral, which says both good as well as bad opinion of any action. 
Thank you "
Nirvair Singh,Hello Guys I am a farmer from Punjab IAM telling u all that I agree some farmers became emotional and went to the red fort but BJP took  an advantage of all this and disguised there men within us . It was a very clever move of there but what good had happened. Even though it's a protest farmers have opened health camps and serving free food . Police officers have there hands tied so we cannot say a word to our cops. Nothing good has happened to either farmers nor police just BJP took benefit of it. RIP to all the people who died in farmers protest.
ROMAN GAMING,Farmers are protesting. 6 month are croosed
Abbu Hatela,You Put On All The Blame On Deep Sidhu....Sach Bhi Bol Liya Kar 
Gaurav,"The government could stop this. But they didn't ,, because government knew that by this incident the public will be against the farmers."
Akash,Thanks for opening my eyes. It is hurting but trueth . 
Ranjodh singh Gill,"Bahi fake police wale lga rkhe h, RSS WALO KO VARDE PHNA rkhe h"
Hecker,"I'm a Sikh

I wrote this comment and now every Hindu brother will come and consider me anti-nationalist and Khalistani. Sikhs did nothing, the way this protest insulted Sikhism, those ppl will regret for their whole life."
GURPREET PANESAR,Clearly all this was planned by the government
Maria Husain,Dhruv Youre the Best
Shaun Bird,"My full support to the Farmers  and I pray for their success. The Farmers are the backbone of the nation and 4 months have passed. It is so tragic that the Govt. does not want to solve their problems.  Now just for the sake of arguement lets say  if  the Govt. rolls back the farms laws,  what is it going to cost the Govt. and what would be the effects.The Government is for the people and by the people and for the people. So if the people demand it, I dont see any reason why the Govt just cant change the laws.  The laws are made for the people and its never that people are made for laws. This is the true meaning of Democracy.  Modi Govt has no choice but to save the farmers immediately. Jai HInd!"
Kashayp Das,Life is very Harsh and Hard Indeed !
اسد رحمان بیگ Asad Rehman Begh,That government was selected by those I guess and in 2024 will be selected as well. Good luck for your unending protests. 
Training by Nirbhay Bagga,THE QUINT is failed Congress spokesperson and everyone knows that so bloody well
Training by Nirbhay Bagga,Flop show and everyone knows that
Rahul Jethwani,Fake news as usual fron the quint. The protest is literally non existent outside punjab
Travel Time,Thank you for supporting farmer
Abhilash Panda,This is such a disgrace to the country hold ding back the economy. No one is even watching these protest anymore. The govt has decided. They are creating a problem to all the other people.
P B,"""I  do not heard you brave farmers, I am enjoyed my dig with Bangladeshi PM""-Modi"
P B,Modi should be band not Bharat
Crypto U.K.,Nothing will happen modi will just wait them out eventually farmers will go home as just sitting and protesting wont do anything unless open armed revolt as the courts with modi and media is Godi media either fight and some die or dont fight and yourself and entire generations die or be slaves hard choice
vineeth menon,Nothing in South India . Please report properly .
GURMEET SINGH SANDHU,Thanku  the quint for covering/supporting kissans
🍨¢нασтι¢ ∂єℓιgнт💕,"Really? They had a bandh yesterday? But it was business like usual everywhere. I guess you and your ilk failed, yet again. My sympathies!"
Manish K S,vada pav sellers in Mumbai have higher population in front of their stalls
parvesh tewari,Lovely.....liquor shop has more crowd than these....maja aa gaya.!!!!
Tanvi B.,Msg to bhakts: If you can't help farmers atleast don't spread hatred. Peace!
shiva kumar,This law is for farmer benefits...So true farmer will not protest....All broker pl continue your protest. We damn care about you...You news is no more important for us....Whatever protest you want to do pl dont in your own state & dont come & block delhi. Let them live peacefully.
amisha sen,Koi news channel farmers protest pr completely report NI Kar rha ...few thinks terrorist are doing ..few thinks something else....if you are doing job do it properly ...like a real journalist ....that's a request ....show us all the sides of farmer Protest
Meet Shah,Where did quint call that it's bharat bandh . Even title says that farmers calls for bharat bandh.
Hardik Sahu,Bc fake ha ye sab farmers apni kheti kar rahay ya ye tho sirf terrorist ha bc
Swaminathan Aiyer,Where is social Distancing?
Pramit Chakraborty,"No bandh in WB.
Edit. The comment section agrees with me. The quint is a propaganda outlet."
bored,Why do they have problem with the new law ?
Tennis Ball,"Bus chutiya banao, the Quint.

Most of the states are not protesting, a negligible amount of people in these states are protesting, I doubt they are backed only for political reasons.

Only Punjab is protesting

Total funded protest from NRIs in Canada.

Gawarism at its best!!"
rachana swati,What bandh??? There was no bandh anywhere in India maybe you should do ur journalism a little better. Daily surges in cases without mask roaming around shouting without knowing the bills???. On the brink of second lockdown and you guys being quint want to damage property . Asking others about jio u should be ashamed of using same carrier.
Rajveer Sandhu,It was all over except some cities which do not have enough agricultural population living around. Great reporting guys.
Akash,"We fully oppose the Fake farmers protest, we stand firmly with BJP."
Aditya Sharma,No bandh in Ranchi
Z Z,"*India should deal with stray dogs the same way USA and other western countries do* - round up every stray dog then place them in an animal shelter, and if a dog is not adopted within a certain number of days then it should be painlessly euthanized."
Rupantar Sen,This could go on forever
Raj Mahesh,I don't even know there is bandh today.There is no bandh in Hyderabad.Why this quint is showing as if there is bandh everywhere.
Keshav Daas,"Give manpower service to Election commission for
VVPAT slip ginti 100% karo ya
EVM Hatawo 
BJP bhagawo Desh bachao abhiyan "
ਦਿਲਜੀਤ S,"too much arguing and protest against any reform is what pulling India behind. The farm laws are good and will benefit the poor farmers,  the farmers clearly don't look that poor and have way too much time on their hands, unlike the poor actual poor farmers working. do what you need to do modi the majority of India DEMOCRATICALLY elected Modi as the prime minister and therefore everyone needs to respect his decision."
Jag Singh,Naxalite is the future of India. Support country Naxalite and its government. Naxalite is always with you to alleviate poverty and ensure equal human rights.
Maninder Singh,"9.5 million subscribers, and 480p ?? Smh"
Shahbaaz Hussain,"I never been in British Era, but i understand now how the British were suffering"
icositetrachoron,"Really shows how much the government cares. When rice and grain prices skyrocket next year I want to see what happens then. After troubling labourers with blanket lockdowns, he's turned to farmers. I wonder who's next"
PE_23 Vinayak Singh,"I stand with modi's government reforms. Hopefully, everyone gets above the basic information about the new reforms."
Karandeep Singh,Be careful with rajewal. He is comrade snake
sachin khare,"One can clearly see difference in reporting and reporters of NDTV and others. Its not just about ""what"" but also ""how""."
centrefor emotions,It's good that community is helping each other. Politicians don't do anything. Time to have local leaders and community leaders who ensure that people take care of each other in difficult times
ABHISHEK KUMAR 44,"Ndtv reporter gazali way of reporting is well controlled clear and coherent
I really love his way of reporting news it's at par with best"
Kezakietuo Naga,Maha Panchayat Meeting is very important. This Meeting must continue in other Countries too.
Janardhan Prasad D V S,.Farmers should take care to not to allow political party leaders joining the farm law protest sites. We in Andhra Pradesh have bitter experience with political party leaders in 2014. People at that time of division of the State of Andhra Pradesh agitated against the proposal. The agitation was conducted by all people. People from every nook and corner participated. Peope cooked food on streets for the participants. People wanted the andhra pradesh State to be continued to be united. News of this agitation ware not shown in other States. Only agitation for separate Telangana was shown in the local media. Arguments for united Andhra Pradesh were not shown in local TVs. And
cheema,Nice reporting by this guy
S K,"Farmers especially our elderly farmers have been out since November protesting. Modi who has been bought out by  the rich corporations of Ambani  and Adani refuses to meet with them. He has barricaded himself. In fact hes ordered the police to throw water cannons, tear gas ,  and beat them up with sticks, throw air bombs and spikes on the farmers, they are beating them up even the old, they are thrown  in jail, 200 people are missing or murdered. Women have been sexually abused. They have blamed terrorists which there were none. They have blamed Khalistan yet it has nothing to do with them. They planted their own people to create friction and create riots amongst the farmers. When I look at the pictures of the farmers I see the sad faces of the elderly and it pulls at my conscience. If you cannot understand their plight or fight  you must not be a God-fearing human being or void of a conscience. You must believe in the  right wing media in India  Aka Fox News that is owned by the government to feed lies Propaganda conspiracy theories aimed to divide and undermine the largest protest in human history. If you cannot understand then you must not believe In humanity. These farmers are just fighting for their livelihoods And no one seems to care especially in India. And because of the abuse the outside world needs to and has  to take notice. Modi needs to be exposed. What he is doing is nothing short of what Hitler did to the Jews and they tried to hide it from the rest of the world. But we are noticing and we are going to fight for the farmers and the  elders who do not have a voice right now. Many of them have committed suicide because they could not make ends meet. Im sorry a lot of Hindus think this abuse of the farmers is OK with them as its not happening to them and they will not stand up for them. They they have a country that believes in Hinduism only and want to rid India of sikhs and muslims. India is a nationalist fascist non democratic country.  I actually think being under British rule was better than what we have now. At least we were united then. If you can look at the eyes of these elderly farmers that are sitting peacefully since November And just see their pain thats all I ask and let them be heard. If you cant do that then sadly you were void of compassion and empathy"
Don Bennet Joseph,What about Bihar
Murali D,Government must not procure beyond buffer stock reccomanded from Punjab. Let punjab government buy at any rate as Farmers asking and they must store and market in thier own.
Murali D,"Government is not marketing agents for any products including agri. As other business it is his responsibilities to market. He have to Research and select which crops to farm before sewing depending on supply and demand.
APMC must be act as price control to check mate private parties indirectly by government. It must try to avoid buying maximum crop.
Government must not buy beyond buffer stock reccomanded to satisfy farmers. Government duty to govern country and pay way and guide of smooth functioning of trade. I feel what government going is correct.
Best for farmers to survive is to form FPO society and sewing and selling must be through it ,with help of educated people."
Agile Loop,Hopefully our Farmers will end Modi's Government in next election 
Pb 13 bunty,Modi will reamain pet of ambani's and adani's for the whole life 
J J,Bjp is under estimating kisans agitation. You cant divert kisan agitation by imposing the words Pakistan china terrorism nationalism videshi etc etc. NO NATIONALISM WITHOUT FARMERS...
Jason Teddy,"Did I communicate my emotions on these matters also,? It always seems difficult to convey an emotion to someone or anyone who has not the same cares or shared memories or point of view and for what reason one feels that way or prays to GOD ADONAI that HE punnish the conveniently forgetful also who are surely lieing so they can encourage co tinged disobeyal and crime and refusal to beg for GOD'S command be carried out and that they demand it done faster if they are not the CHRIST"
Tushar Gaikwad,Farmer are been fooled it's sad to see laws good they need some change but overall they r good in Maharashtra we hv this law from 15 years
Reet,Punjab is already well informed; please extend your word to other states like MP and other parts of the country
Mohammed Taj Ali Ali,I am Son of farmer...  I also do farming
Dulal Kumar Chakraborty,"PM Modi, a primary school dropout is a masterpiece of  dramatization, misrepresentation facts & conceal the truth. He is in  the habit of lofty promises & then care a straw to keep them. Modi does not at all distinguishes between the truth & the lie, just promises what seemingly people buy & thereby add to Modi's effort to self-glorification. Modi is a rustic illiterate, religious fanatic to the backbone, divider-in-chief in India, riot expert, destroyer of Indian economy habitual liar, In fact BJP party is comprising of illiterates, ruffians ,goons liar & criminal of all sorts. In the effort of self glorification, Modi suo motu declared demonetization, GCT & lock-down & all proved to be dangerous in some way or other but the idiot Modi is relentless. Modi is a curse to India. Anyone with thinking ability should not vote for Modi."
Drew Chand,Food and gas prices are going  up around the world  not only here. Pinky is just playing opposition with no solution to the problems.
Aditya pratap,Those who are journalist of ndtv feeling so proud 
Rajesh Swamydhas,Farmers voice is matter in this 2021 elections
RK Singh,These farmers are anti-nationals.
Ningyo H,"The problem is with us the consumers also when we want to eat an apple which looks perfect  of the same size, earth doesn't grow produce like this ..when all of us are of different sizes  why we expect our vegetables be any different ??"
Satwinder Setia,Why she is wearing so many garlands ? To show-off supporters ?
Satwinder Setia,Thanks for being honest NDTV and covering the news without manipulations.
Shubham Shukla,Today is traders and transport workers bharat band and now you will see Godi media will label them also as desh virodhi
Gokul Kumar,"Please inform the farmers to change the pattern of their strike..... Like send the sapplings of different agri ptoduducts to the central government that thay grow them and feed the citizens... if they agree, please call of the strike"
Logbia7k,"Learn to invest your money, that will help your economy a lot "
V V Padmanabhan padmanabhan,COMEDY COURT DOES IT AGAIN:: 27 TH ADJOURNMENT IN KERALA CM PINARAYI VIJAYAN SNC LAVALIN CORRUPTION CASE: COMEDY COURT SETS KIDNEY BOOK OF WORLD RECORD IN ADJOURNMENT:: SOME BIRDS WHISPER 60 CRORES:: CASE ADJOURNED TO NEXT CENTURY
Sekh sams Parvez,Very good morning
Sundar S,wonderful...congrats NDTV
vajinder singh,"Has anyone noticed, the reporter who was interviewing Priyanka, his questions were straight and stark, she missed to answer a couple of them but he didnt attack her on it. Then after the interview, he moved through the crowd where everyone gave him the way and were listening to him. I am not a congress supporter, but I am a supporter of good journalism. The level of respect a party leader had for him and then the public had for him just because he was being a real reporter."
Iqbal Khan,Democratic Republic of India? 28 monthd Lockdown in Kashmir? 90 day Kisan Andolan? Arrest of a21 years old youth r the signs of absolute FACISISM.....
jattdadanda,This is just the begining.
Vel Murugan,"A rebellion is not a revolution. It may ultimately lead to that end.  Bhagat Singh

What a MAN he was !!!!

""REPEAL OR NOTHING""

Fisted salute 
JAI KISAN! JAI KISAN !! JAI KISAN !!!"
ismail konnola,"Thank you for showing the facts on farmers protest. Look like BJP and government is sinking , as no expert with them to realize."
SIMON zidaine,LAKHA SIDANA IS THE PEOPLE'S HERO...    CORRUPT POLICE STAY AWAY
Jonab Hussain,We oppose of the BJP government black rules and false promises
Human Beings R Thinking Beings,"Mind Begs the Question:
Hitler - labeled every protest a conspiracy
If a Govt - labels every protest a conspiracy
Model State,Nazi State?"
Human Beings R Thinking Beings,"Mind Begs the Question:
A Govt - building Concentration Camps
A Judiciary - allowing Totalitarian Laws
What conditions need met
To establish a PM/Govt is Fascist/Nazi?"
Pushpendra Patel,aisa h jo kutte h wo to rhege but jo achhi life chahte h wo bhi inke chakkr me pis jate h
aviator 74,Modi collecting cash on ram temple.... digital cash failure... black money open
Nekib Ahmed,Thanks
furkhan shaikh,# Downfall of BJP by its own ACT #
Ambarish Hegde,Modi is a liar? He is not bothered about the farmers he and his Bjp workers are busy collecting  money in the name of god Rama
Mojaffar Khan,Thanks
Mojaffar Khan,Thanks
Survivor,All I want to say that they don't care about us.
syed sarwar hussain,Dont even bring congress to power if farmers going to uproot bjp this is jus another face of coin ....make farmers leaders an alternative to power....they are true bharath mata k bete ...jai jawan jai kisan ....jawan and kisan should lead the country irrespective of their religion we need imaandar god fearing human leaders...
G G,Lakha Sidan is a social activist in Punjab not a terrorist. He never demanded for separate nation ever.
h m,Modi governance prepared for Hindu Muslim but Kisaan came out of syllabus.
sunny Su,Bhasmasur modi is responsible for the death of 45 farmers. Chor PM
Deepak Kumar,Godi media.. We are with farmers
Gulafshan Trannum,Great farmers
Rinki Paswan,Good Morning 
EXTREME MEMER ✔,I SUPPORT FARMERS
Happy New,Desh me santi aa sakta hai koi bhi galat kam ko condemn kornese. Communists selectively condemn korke desh ko pichhe dhakel raha hai. Moderates like us are also becoming orthodox for the partiality of communist towards mim.
306 Amit Kumar,Ak sacha aur honest journalist Ravish Kumar
306 Amit Kumar,One of the best journalist in India Ravish Kumar sir
Public Awareness,"Why you are not doing research on corruption at 3tier panchayat raj , which is mother of all odds in society ?you are just discussing things that will not help common people to get relief from major issues ."
nikhil hembrom,And neeraj atri says this guy is fake
Krish deep singh Bhatia Productions,Love and respect from amritsar punjab to each and every person supporting farmers 
Lalsingh Rajpurohit 1008,"Thank you very much sir 
Kisan ekta zindabad 
We will win "
Crypto U.K.,By sitting on there wont help modi just wait them out unless farmers dont take more measures that hurt modi nothing will happen
Ashwani Kumar,"Sir jio ka button phone ata hai jis pr MRP bhi nahi hai or not for sale likha hai phir customer se Rs. 1800 charger ki jata hai,koi bhi bill customer or shopkeeper ko nahi milta, kyo je tax main chor hai j nahi? News coverage kr sakte ho?"
#Insideyou,Ravish kumar +Rakshit =One of the legends
V V Padmanabhan padmanabhan,HI RAVISH SIR :: OUR HUMAN RIGHTS PRIVACY GENDER EQUITY EDUCATED IDIOTS ARE MAKING BIG HUE AND CRY ABOUT A JUDGE ASKING A RAPED WOMAN WHETHER SHE WILL MARRY THE MAN WHO RAPED HER: THERE IS NOTHING WRONG IN THAT : RAPE IS ONE OF THE EIGHT FORMS OF MARRIAGE APPROVED AND SANCTIONED IN HINDU SCRIPTURES:: IT IS CALLED PAISACHIKA MARRIAGE:: THE CHILDREN BORN OUT OF PAISACHIKA WEDLOCK ARE LEGITIMATE:: IN FACT IN OUR COUNTRY HUNDREDS OF PAISACHIKA WEDDED COUPLES ARE LEADING NORMAL LIVES:: THOSE IDIOTS WHO MAKE HUE AND CRY ONLY ADVERTISE THEIR COMPLETE IGNORANCE OF THIS COUNTRY AND ITS WAYS :: SHAME UNTO THEM
Rith Heer,Your attention to details makes you more unique. Keep up the good work.Sir
AVTAR SINGH,"RAVISK KUMAR JI GODI MEDIA KE SARE ANCHOR KISSAN ANDOLAN ME BORDER PAR AAYE THE, SARKAR KI LANGUAGE BOLI OR CHALE GYE
    `PAR AAP NHI AAYE`"
V V Padmanabhan padmanabhan,THE EDUCATED CLASS IN OUR COUNTRY  :: JUDGES JOURNALISTS NEWSPAPER EDITIORS ADMINISRTATORS UNIVERSITY PROFESSORS Z:: ARE ALL OBSESED WITH THE WORTHLESS WEASTERN IDEAS ON HUMAN RIGHTS PRIVACY GENDER EQUITY ETC.. THESE IDIOTS ARE EVEN UNAWARE WHAT OUR GREAT SCRIPURES DECLARE ON THESE MATTERS:; ALL THE OPINIONS FORMED AND ACTIONS FORMULATED AFFECTING MILLIONS ARE BASED ON THE FOUBDATION OF WORTHLESS WESTERN IDEAS.. THIS WILL BE A STUBLING BLOCK FOR OUR SOCIETY TO DEVELOP..  OUR SO CALLED EDUCATED CLASS SHOULD GO BACK TO OUR GREAT SCRIPTURE THOUGH THEY ARE NOT EQUIPPED TO UNDESTAND THE GREAT BUT SIMPLE IDEAS
V V Padmanabhan padmanabhan,HI RAVISH JI :: NOMSKAR ::
javed Akthar,"Sir please do primetime on andhrapradesh capital amravati issue  farmers are suffering they r beaten up by police especially women ... Bjp has sold steelplant , blackmailed our cm and created 3 capital issue ..a.p was in horrible  condition before it is no1 in india even Gujarat failed in rankings with a.p"
Himanshu tyagi,Our prime minister has the time to do a rally in bengal for his party but has no time to acknowledge the national issues for which he is elected to do.
Anita S,No logic is this journalism !!
DeVine Trails Records,Respect for you Sir  for your true journalism and standing with farmers .
P Vijay,Atleast some of the other reporters want a solution and propose but people like Ravish never want the farmers agitation to end for their own agenda
P Vijay,You keep passing sarcastic comments on govt and keep crying on other channels whereas no other channel bothers about you
P Vijay,"Ravish, Are you a part of a problem or solution. I don't think you try for solution for the farmers problems"
Saransh Sharma,Good Introduction With photo and music
Trueindian Trueindian,Are ur viewers crying after watching news that instils fear in them...?.
AD7675,Kya bakwaas program script hai. Anchor looks completely confused. Kehna kya chahte ho bhai
Asifa Syed,Very good friday Home work
Desi News,Great parson 
Sagar Kumar,Congress ke Dalal ravish Kumar
Subramaniam Naidu,Shame on you how many life's where lost in shahinbagh
Subramaniam Naidu,I think u are wrong my opinion
Mukesh,"   
Always support ravish kumar sir"
Np Diwakar,I am Proud of you ravish kumar ji
JANARDON BORGOHAIN,"Please do a story on Akhil Gogoi, the most popular farmer's leader from Assam. The guy is kept in jail without no reason for almost two years by the local government."
Kishan,Bbc is bbc cock
Utkarsh Singh,"People are talking that no shops were burnt ,no stores looted ...so i will just say one thing , go to indian penal fir sections and check how many complaints have been filed of rapes by these so called farmers(which the are not).....they are even raping memebers of their own organisation....
But i am sure these things are just propaganda , 80% farmers have no problem with bill is also propaganda ... these   are the real farmers and not khalistani  i am sure about tha"
S. VS,"This is the most unkempt, unprofessionally looking news presenter ever."
